lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_beta,sigma_beta,depth_true_i1.1,depth_true_i1.2,depth_true_i1.3,depth_true_i1.4,depth_true_i1.5,depth_true_i1.6,depth_true_i1.7,depth_true_i1.8,depth_true_i1.9,depth_true_i1.10,delta_depth.1,delta_depth.2,delta_depth.3,delta_depth.4,delta_depth.5,delta_depth.6,delta_depth.7,delta_depth.8,delta_depth.9,delta_depth.10,depth_true_i2.1,depth_true_i2.2,depth_true_i2.3,depth_true_i2.4,depth_true_i2.5,depth_true_i2.6,depth_true_i2.7,depth_true_i2.8,depth_true_i2.9,depth_true_i2.10,growth.1,growth.2,growth.3,growth.4,growth.5,growth.6,growth.7,growth.8,growth.9,growth.10,CGR_pp
# Adaptation terminated
# Step size = 0.185937
# Diagonal elements of inverse mass matrix:
# 0.0268829, 0.155114, 0.0115, 0.0177129, 0.00196769, 0.00848294, 0.000611181, 0.072943, 0.423756, 0.00278028, 0.00523397, 0.00355826, 0.0501689, 0.0223243, 0.0179828, 0.176393, 0.0321743, 0.0229671, 0.0452608, 0.0544284, 0.0796799, 0.0271391
4.20094,0.972797,0.185937,5,31,0,4.61549,0.0131449,0.704809,4.64285,3.42076,10.9304,5.76202,18.4924,1.65593,0.972442,8.61853,6.22884,7.9425,1.713,3.80954,4.37725,1.04412,3.57825,3.58246,1.66705,1.83022,0.958043,2.98346,6.35585,7.23031,15.3077,6.80614,22.0706,5.23838,2.63949,10.4488,7.18688,10.926,0.571,1.26985,1.45908,0.348041,1.19275,1.19415,0.555682,0.610072,0.319348,0.994485,3.03711
6.973,0.977287,0.185937,5,31,0,5.47005,-0.337178,0.294019,4.4827,4.19018,11.4111,6.49786,19.3442,2.05948,1.07154,9.04294,6.2995,7.09424,1.8683,3.50357,4.06799,1.96669,2.62554,3.15195,1.97908,1.63307,0.928107,3.39306,6.351,7.69375,15.4791,8.46455,21.9698,5.21142,3.05062,10.676,7.22761,10.4873,0.622767,1.16786,1.356,0.655562,0.87518,1.05065,0.659693,0.544357,0.309369,1.13102,0.864023
8.62554,0.993016,0.185937,5,31,0,-0.0911532,0.0376303,0.483369,4.18689,3.52685,11.2629,5.38257,19.806,1.60884,1.11871,8.67398,5.66134,7.49874,2.04322,4.28968,4.35334,2.77081,2.19071,3.88704,1.96939,1.85817,1.64804,3.28221,6.23011,7.81652,15.6162,8.15338,21.9967,5.49588,3.0881,10.5321,7.30938,10.7809,0.681073,1.42989,1.45111,0.923603,0.730238,1.29568,0.656464,0.619389,0.549347,1.09407,1.49163
6.93385,0.933212,0.185937,5,31,0,3.34907,0.0570126,0.599529,4.32002,3.50124,10.1645,6.17422,19.4716,1.54165,1.04921,9.08723,6.35383,7.68522,1.40295,4.47424,5.53252,2.67454,2.83512,3.71266,1.90537,2.02782,1.47081,2.68855,5.72298,7.97549,15.697,8.84876,22.3067,5.2543,2.95458,11.115,7.82464,10.3738,0.46765,1.49141,1.84417,0.891512,0.94504,1.23755,0.635123,0.675941,0.490271,0.896183,2.08658
8.01828,0.962476,0.185937,5,31,0,1.72615,-0.0405901,0.182916,3.43824,4.23655,12.3811,6.64141,19.1767,2.25906,1.02499,8.5416,5.65157,7.17116,2.3367,3.09126,2.96264,1.83413,3.34986,3.33135,1.88656,2.20815,2.32175,3.24328,5.77494,7.32781,15.3437,8.47553,22.5265,5.59041,2.91155,10.7498,7.97332,10.4144,0.778901,1.03042,0.987546,0.611376,1.11662,1.11045,0.628853,0.736049,0.773915,1.08109,1.20406
7.30513,0.919723,0.185937,5,31,0,1.15057,0.0758789,0.327964,4.81865,3.54176,10.5409,5.74893,19.4641,1.62913,0.661893,8.27035,6.37119,7.83321,1.80079,3.88703,4.75526,3.18469,2.20442,3.63498,2.14281,2.25411,1.45202,2.91918,6.61944,7.42879,15.2961,8.93362,21.6686,5.26411,2.80471,10.5245,7.82321,10.7524,0.600264,1.29568,1.58509,1.06156,0.734808,1.21166,0.714271,0.75137,0.484008,0.973062,1.39656
8.46269,0.995111,0.185937,4,15,0,-2.62056,-0.0455664,0.479719,4.03735,3.86203,10.6369,5.74851,19.7324,1.53917,0.72131,8.26519,6.16389,7.67768,1.704,3.89318,4.95454,1.71686,2.97579,3.96583,2.22921,2.96795,1.73569,2.80065,5.74135,7.75521,15.5914,7.46537,22.7082,5.50499,2.95052,11.2331,7.89958,10.4783,0.568001,1.29773,1.65151,0.572286,0.991932,1.32194,0.743071,0.989316,0.578563,0.93355,0.632625
11.2653,0.969787,0.185937,5,31,0,1.43484,-0.032201,0.278223,3.37027,3.99085,12.0335,6.16684,19.2176,2.34693,0.629103,8.86667,5.48346,7.06686,2.51601,3.63536,3.34307,1.87098,3.35109,3.00259,2.15261,2.2229,2.63488,3.46455,5.88628,7.62621,15.3766,8.03781,22.5687,5.34952,2.78171,11.0896,8.11834,10.5314,0.83867,1.21179,1.11436,0.623659,1.11703,1.00086,0.717536,0.740965,0.878292,1.15485,0.920942
8.75745,0.98528,0.185937,5,31,0,-3.09963,-0.0183685,0.56451,4.24815,4.00754,10.4704,6.80174,19.3211,1.47667,0.936747,8.48564,6.33025,7.90836,1.55205,3.55981,4.77264,1.02244,3.18749,3.8029,1.77887,2.56586,1.63841,2.57886,5.80021,7.56736,15.243,7.82418,22.5086,5.27958,2.71561,11.0515,7.96866,10.4872,0.517351,1.1866,1.59088,0.340814,1.0625,1.26763,0.592955,0.855285,0.546136,0.859621,2.64703
12.1054,0.995586,0.185937,5,31,0,-2.50628,-0.0489418,0.404763,4.38462,3.67769,10.8625,5.76426,18.6645,1.57604,1.02474,8.74635,5.68079,7.1554,1.52199,3.85734,4.44481,2.25858,4.03263,3.67393,1.75707,2.2519,2.27922,3.42267,5.90661,7.53503,15.3074,8.02285,22.6971,5.24997,2.78182,10.9983,7.96001,10.5781,0.50733,1.28578,1.4816,0.752861,1.34421,1.22464,0.585691,0.750635,0.759741,1.14089,0.825533
13.3223,0.966583,0.185937,5,31,0,-5.09349,-0.176577,0.236444,3.49886,3.96825,11.5573,6.11938,19.8576,1.85753,0.905386,8.85135,5.97376,7.77143,2.43435,3.49808,3.61444,2.34313,2.64848,3.10896,1.63637,2.14894,1.96564,2.75752,5.9332,7.46633,15.1717,8.46251,22.5061,4.96649,2.54176,11.0003,7.9394,10.5289,0.811448,1.16603,1.20481,0.781043,0.882826,1.03632,0.545458,0.716313,0.655213,0.919172,0.785921
13.8623,0.87695,0.185937,5,31,0,-3.044,0.0268768,0.259936,3.78136,4.08452,11.3997,5.84629,19.842,1.36713,0.524922,8.02957,5.67578,7.59077,2.26314,3.32663,3.81813,2.56633,2.61716,3.7942,2.1494,2.98091,2.29091,2.85155,6.0445,7.41115,15.2178,8.41262,22.4592,5.16132,2.67432,11.0105,7.96668,10.4423,0.754382,1.10888,1.27271,0.855444,0.872386,1.26473,0.716466,0.993636,0.763636,0.950517,0.816236
8.65704,0.875684,0.185937,4,15,0,-0.199157,-0.055871,0.244262,3.66983,4.78289,11.5358,7.29117,19.343,1.44764,1.19259,7.88402,6.01276,7.8079,2.74302,2.75609,3.94515,3.37124,2.66619,4.1456,1.93612,2.84415,1.74333,3.08594,6.41286,7.53898,15.481,10.6624,22.0092,5.59324,3.12871,10.7282,7.75609,10.8938,0.914341,0.918697,1.31505,1.12375,0.888731,1.38187,0.645374,0.948051,0.581109,1.02865,1.00742
8.53415,0.737518,0.185937,4,15,0,2.56179,-0.168413,0.23262,3.75204,4.02852,12.4009,5.2926,19.0362,2.184,0.409664,8.48051,5.7473,7.61134,2.57818,3.88708,2.93968,2.4884,2.98954,3.41195,2.58744,2.22774,1.88146,3.52902,6.33022,7.9156,15.3406,7.781,22.0257,5.59595,2.9971,10.7082,7.62877,11.1404,0.859393,1.29569,0.979895,0.829465,0.996513,1.13732,0.862479,0.742579,0.627155,1.17634,1.0446
9.0565,0.914874,0.185937,5,31,0,3.06346,-0.118568,0.379481,4.06818,4.4915,10.4848,5.77289,19.4614,2.16771,1.36085,8.12815,6.41975,7.63295,2.18235,3.41539,4.90851,1.74088,2.78615,3.45976,1.54702,2.61285,1.67518,2.44013,6.25053,7.90689,15.3934,7.51377,22.2475,5.62747,2.90787,10.741,8.09493,10.0731,0.72745,1.13846,1.63617,0.580292,0.928717,1.15325,0.515673,0.870951,0.558393,0.813376,1.36468
9.74469,0.985377,0.185937,5,31,0,-1.9947,-0.0567513,0.309996,3.83697,2.92829,11.4527,6.35471,18.7459,1.68437,0.532307,8.949,6.39538,7.1876,2.59473,4.29627,3.93065,4.01642,3.66712,3.25785,2.25422,1.95349,1.69068,3.0914,6.43169,7.22457,15.3834,10.3711,22.413,4.94222,2.78652,10.9025,8.08606,10.279,0.864909,1.43209,1.31022,1.33881,1.22237,1.08595,0.751405,0.651162,0.56356,1.03047,0.99125
12.0306,0.952348,0.185937,4,31,0,-1.29539,-0.15026,0.329401,3.8305,3.4178,11.2158,6.0777,18.9146,1.67089,0.642599,9.0172,6.47361,7.55698,2.3852,4.2526,3.88479,2.74884,3.47344,3.15844,2.2112,1.93958,1.79842,3.09003,6.2157,7.6704,15.1006,8.82653,22.3881,4.82932,2.8538,10.9568,8.27202,10.647,0.795067,1.41753,1.29493,0.916279,1.15781,1.05281,0.737067,0.646526,0.599472,1.03001,0.645798
13.7512,0.928281,0.185937,5,31,0,-2.20694,-0.132704,0.277246,4.13969,4.19351,10.9854,6.81688,19.3889,1.6186,0.918425,8.05718,5.75693,7.41645,1.98597,3.21376,4.03078,2.89945,2.79581,3.59448,1.87585,2.46998,1.97922,3.48301,6.12566,7.40727,15.0162,9.71633,22.1847,5.21308,2.79427,10.5272,7.73615,10.8995,0.661991,1.07125,1.34359,0.966484,0.931936,1.19816,0.625283,0.823328,0.659741,1.161,1.24194
4.93146,0.853766,0.185937,4,15,0,1.16039,-0.0555542,0.30002,3.86647,3.91412,11.9317,4.53744,18.9576,1.40711,1.24591,8.06614,6.41615,8.15394,2.27273,3.38065,3.10285,2.51694,3.15641,3.8032,1.94479,2.39358,1.35033,2.6695,6.1392,7.29477,15.0345,7.05438,22.114,5.2103,3.1907,10.4597,7.76648,10.8234,0.757577,1.12688,1.03428,0.83898,1.05214,1.26773,0.648262,0.797859,0.450111,0.889834,0.858181
7.19038,0.985382,0.185937,5,31,0,5.97809,-0.035397,0.246043,3.95039,3.46502,10.6557,5.76192,19.5138,2.42277,0.488589,8.91446,5.7665,6.97875,2.50016,4.01498,4.53297,2.1169,3.11718,2.87701,2.72949,2.19794,2.69182,3.25938,6.45054,7.48,15.1886,7.87882,22.631,5.29978,3.21808,11.1124,8.45832,10.2381,0.833386,1.33833,1.51099,0.705634,1.03906,0.959003,0.909831,0.732647,0.897274,1.08646,0.661571
-0.966189,0.963998,0.185937,5,31,0,8.09403,0.269173,0.441625,4.19667,4.16566,11.6202,6.50731,19.2285,1.41501,0.0548432,8.4087,7.25963,7.71357,1.80978,3.42917,3.67968,4.49011,3.50473,4.06899,2.40043,2.51631,1.14919,2.76425,6.00644,7.59483,15.2998,10.9974,22.7333,5.484,2.45527,10.925,8.40883,10.4778,0.60326,1.14306,1.22656,1.4967,1.16824,1.35633,0.800142,0.838768,0.383064,0.921416,1.15221
3.36674,0.986799,0.185937,5,31,0,8.21613,-0.295232,0.559634,3.77375,3.76944,10.844,5.75623,19.1478,1.55927,0.204097,8.88764,5.71555,7.52132,2.68021,3.82786,4.86517,1.00503,2.50116,3.77498,2.39223,2.08956,1.54935,3.2822,6.45396,7.5973,15.7091,6.76126,21.649,5.33425,2.59633,10.9772,7.2649,10.8035,0.893403,1.27595,1.62172,0.335012,0.833719,1.25833,0.797411,0.69652,0.51645,1.09407,0.834199
6.63087,0.989779,0.185937,5,31,0,4.99601,-0.332041,0.373841,3.95918,3.11232,11.1836,6.01422,19.7269,2.19517,0.398642,8.7531,6.33262,7.15122,1.98682,4.5509,3.95643,1.95814,2.99854,3.2842,2.49547,1.86822,2.02121,3.32089,5.946,7.66322,15.1401,7.97236,22.7254,5.47936,2.89411,10.6213,8.35383,10.4721,0.662272,1.51697,1.31881,0.652714,0.999514,1.09473,0.831822,0.622741,0.673737,1.10696,1.43559
6.22532,0.79682,0.185937,4,31,0,8.07276,0.0620687,0.499031,3.94715,3.46816,11.4502,6.0893,20.0448,2.08639,0.729623,8.75557,6.77497,7.24019,2.36155,4.13229,3.29065,1.70939,2.44152,3.27504,1.89279,2.30519,1.43302,3.63009,6.3087,7.60045,14.7408,7.79869,22.4863,5.36143,2.62242,11.0608,8.20799,10.8703,0.787183,1.37743,1.09688,0.569796,0.813842,1.09168,0.630931,0.768398,0.477675,1.21003,0.80827
3.1102,0.996074,0.185937,4,15,0,6.10548,-0.381444,0.316076,4.12541,3.99789,12.0258,6.50563,20.557,2.12752,0.970614,8.87983,5.48514,7.20854,2.26727,3.65255,3.44062,2.02165,1.36278,2.98083,1.58828,2.19647,2.72189,3.45807,6.39268,7.65044,15.4664,8.52728,21.9198,5.10835,2.55889,11.0763,8.20703,10.6666,0.755758,1.21752,1.14687,0.673885,0.454259,0.993611,0.529426,0.732156,0.907297,1.15269,0.798098
9.16418,0.970746,0.185937,4,15,0,3.32236,-0.129502,0.311118,4.40419,4.30436,11.9438,5.63339,19.6311,1.75738,1.13522,8.83943,6.8883,8.0828,2.00721,3.49505,3.515,2.12827,2.52021,3.33309,2.00772,2.27777,1.30112,2.51507,6.4114,7.79941,15.4588,7.76167,22.1513,5.09047,3.14294,11.1172,8.18942,10.5979,0.669071,1.16502,1.17167,0.709425,0.840069,1.11103,0.669239,0.759256,0.433706,0.838357,0.953309
5.88082,0.993422,0.185937,5,31,0,1.96586,-0.129282,0.29321,4.43528,4.04436,10.2792,6.43351,18.5515,2.16095,0.142966,8.84985,5.2655,8.3091,1.92354,3.56629,4.98357,2.86935,3.88775,2.92736,2.67866,2.26141,2.74459,2.07804,6.35882,7.61065,15.2628,9.30286,22.4393,5.08832,2.82163,11.1113,8.01008,10.3871,0.641181,1.18876,1.66119,0.956451,1.29592,0.975788,0.892887,0.753802,0.914863,0.692679,0.637877
4.49371,0.739623,0.185937,5,31,0,11.2285,-0.274864,0.36749,3.49226,3.7366,12.1182,6.35556,20.027,1.47857,0.763382,8.31823,6.64143,6.34498,2.64026,4.10214,2.73383,1.78008,2.25771,3.7374,2.11679,2.54514,1.39773,4.09348,6.13252,7.83873,14.852,8.13564,22.2847,5.21596,2.88017,10.8634,8.03916,10.4385,0.880086,1.36738,0.911276,0.593359,0.75257,1.2458,0.705595,0.848379,0.46591,1.36449,0.86019
15.7531,0.929126,0.185937,5,31,0,1.57518,0.0418065,0.310355,4.02933,3.92134,11.071,5.75164,19.059,1.76194,1.1759,8.55013,5.77085,7.33603,2.26167,3.85663,3.95595,2.89332,3.32811,3.47972,1.72789,2.34542,2.21462,3.2059,6.291,7.77797,15.027,8.64496,22.3871,5.24167,2.90379,10.8955,7.98546,10.5419,0.753891,1.28554,1.31865,0.96444,1.10937,1.15991,0.575963,0.781808,0.738206,1.06863,1.36301
11.8051,0.793964,0.185937,5,31,0,-0.0367139,-0.263996,0.372197,4.03367,4.31054,11.139,5.68067,19.7792,1.99428,0.504086,8.56794,6.37434,7.52704,2.17473,3.48564,3.82827,1.39372,2.45058,3.26271,2.18196,2.2381,1.36864,2.79524,6.2084,7.79619,14.9672,7.07439,22.2298,5.25699,2.68605,10.806,7.74299,10.3223,0.72491,1.16188,1.27609,0.464572,0.816861,1.08757,0.72732,0.746033,0.456215,0.931747,0.548757
