# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = corrosion_model_model
# start_datetime = 2023-01-27 10:22:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/ddifrancesco/Library/CloudStorage/OneDrive-TheAlanTuringInstitute/Desktop/AllYourBayes/posts/Bayes@Lund/tmp/corrosion_model_data_2.json
# init = 2 (Default)
# random
#   seed = 4192839637 (Default)
# output
#   file = /Users/ddifrancesco/Library/CloudStorage/OneDrive-TheAlanTuringInstitute/Desktop/AllYourBayes/posts/Bayes@Lund/tmp/corrosion_model_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_beta,sigma_beta,depth_true_i1.1,depth_true_i1.2,depth_true_i1.3,depth_true_i1.4,depth_true_i1.5,depth_true_i1.6,depth_true_i1.7,depth_true_i1.8,depth_true_i1.9,depth_true_i1.10,delta_depth.1,delta_depth.2,delta_depth.3,delta_depth.4,delta_depth.5,delta_depth.6,delta_depth.7,delta_depth.8,delta_depth.9,delta_depth.10,depth_true_i2.1,depth_true_i2.2,depth_true_i2.3,depth_true_i2.4,depth_true_i2.5,depth_true_i2.6,depth_true_i2.7,depth_true_i2.8,depth_true_i2.9,depth_true_i2.10,growth.1,growth.2,growth.3,growth.4,growth.5,growth.6,growth.7,growth.8,growth.9,growth.10,CGR_pp
# Adaptation terminated
# Step size = 0.17951
# Diagonal elements of inverse mass matrix:
# 0.0194591, 0.149254, 0.0133798, 0.0169397, 0.00207385, 0.00704966, 0.000543216, 0.0815822, 0.693516, 0.00250185, 0.00494388, 0.00394209, 0.053058, 0.024987, 0.0197963, 0.151735, 0.0289016, 0.0236967, 0.053025, 0.04194, 0.0683237, 0.0286089
6.445,0.944976,0.17951,5,31,0,0.0130536,-0.177829,0.299015,3.66805,3.0597,11.6962,5.73968,19.1191,2.26321,1.73519,7.49703,5.96204,7.54319,2.49672,4.45336,3.31542,3.77103,3.12093,2.84587,1.45654,3.15182,1.69064,3.07908,6.16477,7.51306,15.0116,9.51071,22.24,5.10908,3.19173,10.6489,7.65268,10.6223,0.83224,1.48445,1.10514,1.25701,1.04031,0.948624,0.485513,1.05061,0.563546,1.02636,1.01952
4.41152,0.875182,0.17951,5,31,0,5.19939,-0.198447,0.553409,4.52689,4.51639,10.5935,5.88163,20.118,1.48706,0.170344,9.57822,6.50194,7.57621,1.72817,2.83619,4.57748,2.09617,2.13545,3.9383,2.57841,1.20145,1.70149,3.16798,6.25507,7.35258,15.171,7.9778,22.2535,5.42536,2.74876,10.7797,8.20343,10.7442,0.576058,0.945398,1.52583,0.698724,0.711816,1.31277,0.859471,0.400483,0.567162,1.05599,0.500989
5.08232,0.893054,0.17951,5,31,0,8.82907,-0.0453061,0.268754,3.79637,2.93837,11.8143,6.34297,18.9447,2.64456,0.827858,7.02209,5.57526,7.70859,2.48923,4.35645,3.67833,3.25904,3.13942,2.79841,1.72365,3.76877,1.81195,2.96792,6.2856,7.29482,15.4926,9.60201,22.0841,5.44297,2.55151,10.7909,7.38721,10.6765,0.829743,1.45215,1.22611,1.08635,1.04647,0.932803,0.57455,1.25626,0.603984,0.989305,1.37065
11.109,0.849648,0.17951,5,31,0,6.64695,0.00979838,0.275334,4.02542,3.23428,11.2605,6.20995,19.1817,2.08173,0.868387,7.37437,5.52574,7.13258,2.16961,4.31892,3.97474,3.92589,3.12123,3.16969,2.19435,3.31023,2.81905,3.48523,6.19503,7.5532,15.2353,10.1358,22.3029,5.25142,3.06273,10.6846,8.34479,10.6178,0.723204,1.43964,1.32491,1.30863,1.04041,1.05656,0.731449,1.10341,0.939684,1.16174,0.67196
3.20106,0.686231,0.17951,5,31,0,6.10809,-0.0797663,0.308102,4.85151,3.83505,11.2246,5.07837,19.0417,2.13825,0.865198,8.40107,5.37678,6.86681,1.74982,3.73801,3.99942,2.1122,2.96665,3.26568,1.89182,3.14732,2.18179,3.15345,6.60132,7.57305,15.224,7.19057,22.0083,5.40393,2.75702,11.5484,7.55857,10.0203,0.583272,1.246,1.33314,0.704067,0.988883,1.08856,0.630608,1.04911,0.727263,1.05115,1.46685
3.87768,0.992873,0.17951,4,23,0,6.70287,0.0280837,0.33042,3.56756,3.85039,11.3769,7.03256,19.3883,2.05667,0.431246,9.23626,5.97974,7.78416,3.03743,3.73252,3.83152,2.71495,2.44818,3.32159,2.36236,1.96274,1.5565,2.14015,6.60499,7.58291,15.2084,9.74751,21.8365,5.37826,2.79361,11.199,7.53624,9.92431,1.01248,1.24417,1.27717,0.904983,0.816061,1.1072,0.787454,0.654247,0.518833,0.713384,1.04363
3.24214,0.989849,0.17951,5,31,0,4.16226,-0.0650972,0.399777,4.37809,3.76335,10.9647,5.04846,19.1323,1.60536,0.976519,7.67917,6.11226,8.01558,1.42108,3.65061,4.64136,2.10047,3.47836,3.79202,1.72286,2.7889,2.01998,3.31644,5.79917,7.41396,15.606,7.14893,22.6106,5.39737,2.69938,10.4681,8.13224,11.332,0.473693,1.21687,1.54712,0.700157,1.15945,1.26401,0.574286,0.929635,0.673326,1.10548,0.984116
10.6244,0.901064,0.17951,5,31,0,15.5825,-0.0952523,0.338994,3.52727,3.76096,11.426,5.54514,19.3977,2.15054,1.19247,9.01475,5.96466,7.27128,2.65631,3.97618,3.66537,2.39458,3.21314,2.77803,1.98663,1.85509,1.78091,3.0226,6.18358,7.73714,15.0914,7.93972,22.6109,4.92857,3.17909,10.8698,7.74556,10.2939,0.885438,1.32539,1.22179,0.798195,1.07105,0.92601,0.662209,0.618364,0.593637,1.00753,0.722444
11.5887,0.942107,0.17951,5,31,0,0.521206,0.0536209,0.146084,3.29037,3.97822,11.773,6.22876,18.5903,1.34032,0.469872,8.51356,5.76425,8.14166,2.93181,3.39954,3.70975,3.29419,3.51855,4.03108,2.3777,2.60111,2.61468,2.86975,6.22219,7.37776,15.4828,9.52295,22.1089,5.37139,2.84758,11.1147,8.37893,11.0114,0.977272,1.13318,1.23658,1.09806,1.17285,1.34369,0.792568,0.867037,0.871559,0.956584,1.18281
8.52854,0.912497,0.17951,5,31,0,-1.58398,-0.0186761,0.358879,3.96592,3.85159,12.0613,6.32969,19.1503,1.15369,0.483636,8.13979,5.87754,6.51185,2.24714,3.39118,3.30447,2.33704,3.0027,4.41109,2.08219,2.75203,2.32973,4.4455,6.21306,7.24277,15.3658,8.66673,22.153,5.56479,2.56582,10.8918,8.20728,10.9573,0.749045,1.13039,1.10149,0.779015,1.0009,1.47036,0.694063,0.917345,0.776578,1.48183,1.65491
