lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_beta,sigma_beta,depth_true_i1.1,depth_true_i1.2,depth_true_i1.3,depth_true_i1.4,depth_true_i1.5,depth_true_i1.6,depth_true_i1.7,depth_true_i1.8,depth_true_i1.9,depth_true_i1.10,delta_depth.1,delta_depth.2,delta_depth.3,delta_depth.4,delta_depth.5,delta_depth.6,delta_depth.7,delta_depth.8,delta_depth.9,delta_depth.10,depth_true_i2.1,depth_true_i2.2,depth_true_i2.3,depth_true_i2.4,depth_true_i2.5,depth_true_i2.6,depth_true_i2.7,depth_true_i2.8,depth_true_i2.9,depth_true_i2.10,growth.1,growth.2,growth.3,growth.4,growth.5,growth.6,growth.7,growth.8,growth.9,growth.10,CGR_pp
# Adaptation terminated
# Step size = 0.209912
# Diagonal elements of inverse mass matrix:
# 0.0206549, 0.146737, 0.0119739, 0.0178825, 0.00207773, 0.00661293, 0.000564605, 0.0887887, 0.598148, 0.00237529, 0.00461855, 0.00377345, 0.050518, 0.0244594, 0.0204216, 0.168747, 0.029942, 0.0260244, 0.0425435, 0.042651, 0.0650595, 0.0270629
7.84555,0.508294,0.209912,5,31,0,1.60787,-0.318731,0.407105,4.22495,4.29683,10.8228,5.91819,20.0115,1.46416,0.614553,8.07653,6.26767,7.66354,2.18183,3.1489,4.17017,2.23371,2.42473,3.84427,1.83336,2.86071,1.13664,3.01565,6.40678,7.44573,14.993,8.1519,22.4363,5.30843,2.44792,10.9372,7.40431,10.6792,0.727277,1.04963,1.39006,0.744571,0.808245,1.28142,0.611121,0.95357,0.378881,1.00522,0.651745
8.17632,0.99333,0.209912,4,31,0,1.14897,0.171745,0.373683,3.89275,2.98929,10.5336,6.14557,18.2991,2.27844,0.852279,8.27478,5.56542,7.75803,2.41557,4.70018,5.2967,2.36244,4.13713,3.03789,2.13787,2.48799,1.92175,3.12964,6.30832,7.68947,15.8303,8.50801,22.4362,5.31632,2.99015,10.7628,7.48716,10.8877,0.80519,1.56673,1.76557,0.78748,1.37904,1.01263,0.712624,0.82933,0.640583,1.04321,1.35735
9.98809,0.95762,0.209912,5,31,0,3.82664,-0.240207,0.396797,4.59809,4.88925,10.7712,5.34831,18.6985,1.90318,0.763716,8.64081,5.8875,7.7254,1.66316,2.48847,4.64498,2.88834,3.76046,3.42605,2.04186,2.05015,1.61419,2.96974,6.26125,7.37772,15.4162,8.23665,22.4589,5.32923,2.80557,10.691,7.5017,10.6951,0.554386,0.829489,1.54833,0.96278,1.25349,1.14202,0.680619,0.683382,0.538064,0.989913,0.755067
5.85069,0.6147,0.209912,5,31,0,8.56129,-0.0937711,0.488726,4.03731,3.87242,11.9465,6.8206,19.9032,2.37789,1.56048,9.20989,6.09359,7.51149,2.53556,3.82827,3.27559,1.52856,2.47384,3.10652,1.1731,1.5914,1.30257,3.3637,6.57287,7.70069,15.2221,8.34917,22.377,5.48441,2.73358,10.8013,7.39616,10.8752,0.845188,1.27609,1.09186,0.509521,0.824612,1.03551,0.391034,0.530465,0.434189,1.12123,1.5104
9.81247,0.820281,0.209912,5,31,0,3.51968,-0.0963006,0.309994,3.67625,4.36742,10.8048,5.42191,18.5861,1.49264,0.434982,8.07355,5.73745,7.7827,2.11953,2.98825,4.53873,3.62356,3.69883,3.55742,2.49239,2.81372,1.87368,2.5965,5.79578,7.35567,15.3436,9.04547,22.285,5.05006,2.92737,10.8873,7.61112,10.3792,0.70651,0.996084,1.51291,1.20785,1.23294,1.18581,0.830796,0.937906,0.624559,0.865499,0.553143
5.67152,0.868174,0.209912,5,31,0,0.64808,-0.32742,0.422717,3.8937,3.24723,11.9297,6.48467,20.1175,2.01909,0.864983,8.84494,5.90483,7.20866,1.61354,4.20237,3.35526,3.27263,2.32227,2.96034,1.90972,1.87689,1.96186,3.18405,5.50723,7.4496,15.2849,9.7573,22.4397,4.97943,2.7747,10.7218,7.86669,10.3927,0.537845,1.40079,1.11842,1.09088,0.774091,0.98678,0.636574,0.62563,0.653954,1.06135,0.656978
2.82562,0.971177,0.209912,4,15,0,4.82032,-0.166277,0.425406,4.4104,3.20066,12.3831,5.97626,19.7233,2.6451,1.14621,8.52501,5.9424,7.86039,2.48629,4.26141,2.79145,4.10945,1.98962,3.01169,1.62251,2.40795,1.86891,2.84874,6.89669,7.46207,15.1746,10.0857,21.713,5.6568,2.76872,10.933,7.81131,10.7091,0.828762,1.42047,0.930483,1.36982,0.663206,1.0039,0.540837,0.802649,0.622969,0.949579,0.794508
5.92145,0.998487,0.209912,5,31,0,9.9399,0.171082,0.385946,3.67534,4.15627,10.6243,5.81443,19.8403,2.08712,1.09996,8.60972,6.19705,7.01263,2.93546,3.64088,4.83394,2.73204,2.26043,2.81812,1.488,1.86398,1.65281,3.75461,6.6108,7.79714,15.4583,8.54647,22.1007,4.90525,2.58796,10.4737,7.84986,10.7672,0.978486,1.21363,1.61131,0.910679,0.753476,0.939375,0.496001,0.621327,0.550936,1.25154,0.855282
2.0319,0.949805,0.209912,5,31,0,8.17567,-0.447134,0.436457,4.31239,3.77279,11.8042,6.23496,18.7061,0.417881,1.06526,8.51458,6.37804,7.26774,1.85148,4.07698,3.63509,1.70765,3.47571,4.37599,1.80889,2.74114,1.33435,3.41257,6.16387,7.84977,15.4393,7.94261,22.1818,4.79387,2.87415,11.2557,7.71239,10.6803,0.61716,1.35899,1.2117,0.569216,1.15857,1.45866,0.602963,0.913714,0.444783,1.13752,0.760341
-5.97525,0.932702,0.209912,5,31,0,15.6752,-0.120657,0.698468,3.52324,3.9457,10.6013,5.77661,19.4688,3.65694,2.14719,9.49053,6.12256,8.05254,2.57397,3.76703,5.1166,1.66911,2.57652,1.97375,0.665829,0.816748,1.55168,2.6488,6.09721,7.71273,15.7179,7.44571,22.0453,5.63069,2.81302,10.3073,7.67425,10.7013,0.857991,1.25568,1.70553,0.556368,0.858839,0.657916,0.221943,0.272249,0.517227,0.882932,2.40278
