d_insp,cost
8.20399,28500.0
8.20919,28500.0
8.21361,26300.0
8.21594,29700.0
8.21763,29400.0
8.22164,29800.0
8.22679,27600.0
8.2281,30700.0
8.23205,28200.0
8.23262,29200.0
8.23406,25900.0
8.23567,29400.0
8.23632,28500.0
8.23673,29400.0
8.23732,26700.0
8.23738,29100.0
8.23761,27700.0
8.24221,29200.0
8.24253,26300.0
8.24781,26500.0
8.24784,29600.0
8.24969,26700.0
8.25518,26800.0
8.2614,29900.0
8.2663,23400.0
8.26816,26900.0
8.26873,28600.0
8.27454,29500.0
8.27563,27000.0
8.27681,26400.0
8.28249,28100.0
8.28925,27600.0
8.28968,26500.0
8.29349,29800.0
8.29363,31300.0
8.29384,27100.0
8.29404,28900.0
8.3104,29000.0
8.31209,28600.0
8.31634,26800.0
8.32,28500.0
8.32052,28900.0
8.33053,29000.0
8.33574,30600.0
8.33599,27700.0
8.33877,27600.0
8.33901,27700.0
8.34469,27200.0
8.3477,29900.0
8.34916,26400.0
8.35344,26100.0
8.35653,28200.0
8.35917,28400.0
8.36835,27800.0
8.36959,26300.0
8.37138,28500.0
8.37216,29400.0
8.37798,28300.0
8.38755,26300.0
8.38787,27700.0
8.39564,27000.0
8.39582,30000.0
8.39868,29100.0
8.39914,29500.0
8.40086,28700.0
8.40253,27200.0
8.41189,31500.0
8.4148,28100.0
8.41621,29300.0
8.4169,27900.0
8.4221,29800.0
8.43138,28000.0
8.44243,27300.0
8.44379,27800.0
8.44499,28000.0
8.44652,27700.0
8.44711,28600.0
8.4473,26900.0
8.44953,26700.0
8.4513,27600.0
8.45367,27700.0
8.45801,26000.0
8.45977,31400.0
8.46231,30100.0
8.48012,27400.0
8.4816,28100.0
8.48708,26800.0
8.49174,28600.0
8.49589,27400.0
8.49648,28700.0
8.49821,28400.0
8.50058,27500.0
8.50484,26500.0
8.50805,26100.0
8.50853,27800.0
8.51091,30600.0
8.5212,29000.0
8.52361,26100.0
8.52933,29500.0
8.5361,29600.0
8.54336,27200.0
8.55153,27300.0
8.55746,29200.0
8.55974,28800.0
8.56521,27700.0
8.56782,26800.0
8.57505,27300.0
8.579,29300.0
8.57909,28500.0
8.58728,27100.0
8.58847,27500.0
8.59148,27000.0
8.59157,28400.0
8.59205,28800.0
8.59515,27300.0
8.59605,27800.0
8.59728,26000.0
8.60664,28400.0
8.61032,27500.0
8.61628,28700.0
8.61768,28400.0
8.61893,28600.0
8.61898,29300.0
8.61953,29000.0
8.62222,25800.0
8.62232,26800.0
8.62292,29700.0
8.62472,27700.0
8.62532,29100.0
8.6256,28200.0
8.62815,27500.0
8.6287,29100.0
8.63071,27900.0
8.63708,28200.0
8.63974,27900.0
8.64046,29000.0
8.64152,26900.0
8.6468,26500.0
8.65513,30600.0
8.65787,29900.0
8.66152,28000.0
8.66831,27900.0
8.67496,29000.0
8.675,27000.0
8.67559,26500.0
8.6882,28500.0
8.68941,26800.0
8.68981,28500.0
8.69335,27900.0
8.69837,26700.0
8.70283,28700.0
8.70539,27600.0
8.70662,26700.0
8.70778,28800.0
8.71122,26100.0
8.71627,27700.0
8.71931,28300.0
8.72089,26500.0
8.72383,26600.0
8.72716,28200.0
8.72952,28800.0
8.73328,27200.0
8.73329,28400.0
8.7383,28800.0
8.73848,26700.0
8.74261,28400.0
8.74399,28800.0
8.74426,25400.0
8.74452,27700.0
8.74654,28200.0
8.7476,29200.0
8.74957,28900.0
8.75004,26300.0
8.76391,27000.0
8.76654,28600.0
8.76708,27400.0
8.76905,29300.0
8.76927,26500.0
8.77474,25900.0
8.77477,27600.0
8.77506,28900.0
8.77864,26900.0
8.78223,27400.0
8.78681,27500.0
8.78793,29700.0
8.78829,31300.0
8.7884,28600.0
8.7949,26700.0
8.79601,28200.0
8.80124,28100.0
8.8017,27300.0
8.80774,28900.0
8.81054,26900.0
8.81265,27400.0
8.81281,27200.0
8.81478,29500.0
8.81738,26800.0
8.81751,27000.0
8.81773,30400.0
8.82158,28800.0
8.82257,28500.0
8.82868,27000.0
8.8288,27700.0
8.83472,28700.0
8.83696,28200.0
8.83792,28800.0
8.83854,30100.0
8.84041,30500.0
8.8421,27600.0
8.84395,27900.0
8.84922,27200.0
8.85585,31600.0
8.85594,27700.0
8.85632,26500.0
8.85643,27100.0
8.85921,30400.0
8.86164,27400.0
8.86267,27600.0
8.86955,26800.0
8.87202,27100.0
8.88058,25000.0
8.88067,27000.0
8.88315,29000.0
8.88364,26700.0
8.88381,26700.0
8.88622,29800.0
8.88752,27500.0
8.89003,26500.0
8.89047,28700.0
8.89206,26900.0
8.8975,27200.0
8.89758,28000.0
8.90238,25800.0
8.90525,26500.0
8.90596,27700.0
8.91134,26600.0
8.91287,28400.0
8.91298,27600.0
8.9155,28200.0
8.91609,27400.0
8.92082,25500.0
8.92122,27900.0
8.9222,30300.0
8.92543,29400.0
8.92612,26300.0
8.92905,28000.0
8.92927,25900.0
8.93577,26700.0
8.9362,27400.0
8.93701,26900.0
8.93722,28300.0
8.94495,27600.0
8.94795,26900.0
8.9533,30000.0
8.95734,26300.0
8.95871,28500.0
8.96031,29100.0
8.96112,26700.0
8.96311,28100.0
8.96317,29200.0
8.96356,29100.0
8.96402,26600.0
8.96671,29300.0
8.96713,27700.0
8.96739,28700.0
8.96941,26600.0
8.97166,25500.0
8.97264,26800.0
8.97809,27900.0
8.98012,26200.0
8.9811,27400.0
8.98443,28300.0
8.98546,27600.0
8.98684,27400.0
8.98754,26700.0
8.98762,26300.0
8.98849,27600.0
8.99258,27600.0
8.99322,26300.0
8.99554,25800.0
8.99961,27700.0
9.00936,26300.0
9.01003,27400.0
9.01907,27200.0
9.0193,27400.0
9.02523,27200.0
9.02994,27400.0
9.02999,28200.0
9.03101,30500.0
9.0332,25500.0
9.03689,27000.0
9.03921,27300.0
9.04206,27900.0
9.0441,29900.0
9.05031,28200.0
9.05458,28100.0
9.05845,26500.0
9.05876,31900.0
9.05911,29500.0
9.06145,26900.0
9.06185,27200.0
9.06493,28600.0
9.06824,28700.0
9.07395,28500.0
9.07583,27500.0
9.07828,28200.0
9.08249,26400.0
9.08309,28700.0
9.08505,31300.0
9.08646,30700.0
9.08791,27600.0
9.08851,27700.0
9.09175,28400.0
9.09264,28900.0
9.10026,29400.0
9.10322,29700.0
9.10768,28200.0
9.10809,28400.0
9.11069,28700.0
9.1159,30600.0
9.1212,27600.0
9.12373,27400.0
9.12505,28600.0
9.12539,27400.0
9.12977,27700.0
9.13401,28200.0
9.13405,26100.0
9.13772,28400.0
9.13836,29100.0
9.14697,26900.0
9.15254,26800.0
9.15256,28400.0
9.1565,28700.0
9.15766,28100.0
9.15935,26300.0
9.16304,28200.0
9.16333,26300.0
9.16747,29300.0
9.16907,28000.0
9.17183,29000.0
9.17564,29200.0
9.18011,28500.0
9.18859,29600.0
9.18963,29900.0
9.1913,29500.0
9.19722,30000.0
9.20053,28400.0
9.2013,26700.0
9.20161,28400.0
9.20524,28400.0
9.2108,27100.0
9.21164,26800.0
9.21317,28100.0
9.21392,28500.0
9.21688,28000.0
9.22968,27500.0
9.23006,29300.0
9.23167,27500.0
9.23336,27000.0
9.24069,28800.0
9.24172,27700.0
9.24531,29500.0
9.24914,28700.0
9.25157,27700.0
9.25242,28000.0
9.2551,29400.0
9.26948,28400.0
9.27201,27900.0
9.27363,30100.0
9.28393,27900.0
9.29019,29200.0
9.30412,28900.0
9.30502,28300.0
9.30725,27700.0
9.30748,29800.0
9.31064,26300.0
9.31378,27400.0
9.3173,30200.0
9.31899,30400.0
9.31922,26100.0
9.32249,29900.0
9.32281,28700.0
9.32489,31100.0
9.32904,29100.0
9.33021,27400.0
9.33181,29500.0
9.33651,28700.0
9.34572,30000.0
9.35176,28200.0
9.35278,27900.0
9.36351,25400.0
9.36491,28600.0
9.36622,27300.0
9.36975,29100.0
9.37377,27400.0
9.3809,27000.0
9.38276,30300.0
9.38356,31500.0
9.38483,27700.0
9.38517,30000.0
9.38621,31500.0
9.3908,30600.0
9.40001,29900.0
9.40262,31300.0
9.40311,28800.0
9.40449,26600.0
9.4089,26700.0
9.41106,27000.0
9.4135,27200.0
9.4135,27200.0
9.41517,26500.0
9.41721,27300.0
9.42064,30000.0
9.42079,27000.0
9.42263,29100.0
9.42277,29100.0
9.42308,27500.0
9.44257,29400.0
9.44543,29500.0
9.44892,33700.0
9.45233,29000.0
9.45283,29500.0
9.45419,29700.0
9.46401,28700.0
9.46455,29700.0
9.46666,31200.0
9.46956,30900.0
9.47621,28800.0
9.47993,29300.0
9.48074,29200.0
9.48524,29100.0
9.49111,28700.0
9.49333,29300.0
9.49654,29400.0
9.5085,28700.0
9.5174,29700.0
9.51769,29100.0
9.51827,27500.0
9.52111,29600.0
9.53256,29700.0
9.53335,26200.0
9.53376,29900.0
9.53609,31200.0
9.53905,29700.0
9.54857,30200.0
9.54938,28800.0
9.55265,31100.0
9.55437,30000.0
9.55595,31600.0
9.56936,31300.0
9.57019,30300.0
9.57797,28900.0
9.58629,30200.0
9.58849,28300.0
9.59157,26900.0
9.59258,31500.0
9.60896,28900.0
9.61761,30100.0
9.62003,32700.0
9.62656,28400.0
9.63167,26300.0
9.63438,28300.0
9.63684,29200.0
9.63969,30100.0
9.64459,30100.0
9.64603,30200.0
9.65594,29800.0
9.66487,33000.0
9.66943,28800.0
9.67982,28200.0
9.68485,31100.0
9.69151,30800.0
9.69487,32800.0
9.69826,29000.0
9.70221,29800.0
9.70477,30700.0
9.70764,29000.0
9.70807,30800.0
9.70882,27300.0
9.71096,32700.0
9.71409,29700.0
9.71972,31500.0
9.72442,29100.0
9.72978,28000.0
9.7383,30900.0
9.74053,31000.0
9.74235,27700.0
9.74592,32500.0
9.75213,30500.0
9.75783,31600.0
9.7755,30700.0
9.77835,28900.0
9.79086,30500.0
9.80101,29000.0
9.80158,28400.0
9.80713,29300.0
9.81471,30200.0
9.81638,30400.0
9.81946,30000.0
9.82594,29200.0
9.82678,31100.0
9.83416,30300.0
9.84066,28200.0
9.84295,31000.0
9.84384,30500.0
9.84961,29400.0
9.8499,29700.0
9.85305,30000.0
9.85713,31300.0
9.85845,27800.0
9.86213,30800.0
9.86569,30600.0
9.87233,32300.0
9.87537,32500.0
9.87662,27100.0
9.8773,30000.0
9.89436,32000.0
9.90104,29500.0
9.91058,31200.0
9.91576,30700.0
9.92075,29200.0
9.92244,32800.0
9.9265,30100.0
9.92873,32400.0
9.93522,27800.0
9.94512,29700.0
9.95241,31800.0
9.96646,30100.0
9.976,33600.0
9.98048,30900.0
9.99078,31300.0
9.99614,30500.0
9.99828,29500.0
9.99861,29000.0
10.0193,29500.0
10.0203,31600.0
10.0266,33100.0
10.0431,33000.0
10.0457,31000.0
10.0474,30700.0
10.0571,32000.0
10.1054,31400.0
10.1093,32600.0
10.1127,32900.0
10.1161,28500.0
10.1213,33700.0
10.1284,32900.0
10.1349,30500.0
10.1448,29800.0
10.1454,31600.0
10.1477,32600.0
10.1509,31900.0
10.1558,29400.0
10.161,31000.0
10.1762,30800.0
10.1907,32100.0
10.1918,33400.0
10.195,34000.0
10.1959,30300.0
10.1971,32100.0
10.1984,28200.0
10.2176,31900.0
10.2215,32900.0
10.228,33500.0
10.232,34400.0
10.2573,29900.0
10.2782,33400.0
10.281,33500.0
10.2911,33700.0
10.2979,34800.0
10.3004,32000.0
10.3107,33500.0
10.3136,35100.0
10.3355,33100.0
10.3454,34700.0
10.3521,37100.0
10.3554,33600.0
10.3683,34200.0
10.3688,31900.0
10.3741,33900.0
10.3754,35300.0
10.3933,34200.0
10.3956,34300.0
10.3966,33600.0
10.4021,32200.0
10.4051,33100.0
10.4169,34500.0
10.4198,35400.0
10.4199,33000.0
10.4265,35300.0
10.4553,34600.0
10.4592,35600.0
10.4658,33800.0
10.4742,35400.0
10.4811,34500.0
10.4873,35200.0
10.5126,38900.0
10.5284,33500.0
10.5358,35900.0
10.5395,35200.0
10.5466,34500.0
10.5525,36300.0
10.5637,37900.0
10.5638,33000.0
10.6156,36000.0
10.6345,38500.0
10.6369,36500.0
10.6425,39200.0
10.6594,39800.0
10.6736,38100.0
10.696,38400.0
10.7061,39800.0
10.7636,41100.0
10.7719,41500.0
10.7986,45500.0
10.8076,46600.0
10.829,42300.0
10.8595,39500.0
10.8605,41100.0
10.8999,45300.0
10.907,41700.0
10.9464,41400.0
10.993,45300.0
10.9956,45200.0
11.0008,47300.0
11.0441,45900.0
11.0526,47600.0
11.0907,48000.0
11.1183,43900.0
11.1682,43800.0
11.1797,46400.0
11.1805,45000.0
11.1863,48300.0
11.252,47900.0
11.3164,43400.0
11.3228,47700.0
11.3244,46900.0
11.3426,44800.0
11.3577,47800.0
11.363,46500.0
11.3681,45900.0
11.3785,46900.0
11.4165,43200.0
11.4498,47500.0
11.4812,46900.0
11.4883,49000.0
11.509,45100.0
11.5237,47800.0
11.5568,46400.0
11.5621,48900.0
11.6359,49900.0
11.723,47200.0
11.7534,47100.0
11.7613,48700.0
11.8535,50600.0
11.9359,48500.0
12.1267,48800.0
12.1414,49800.0
12.1474,48900.0
12.1721,51100.0
12.1727,50100.0
12.1769,49000.0
12.2031,50900.0
12.2919,49800.0
12.3457,50600.0
12.3744,50100.0
12.3853,49700.0
12.4841,53100.0
12.491,50900.0
12.574,49700.0
12.7221,50400.0
13.1339,52000.0
13.4212,52300.0
13.477,51900.0
13.6509,52200.0
13.7532,51500.0
13.9213,52300.0
14.1456,52600.0
14.3142,51800.0
15.1077,53600.0
15.2693,55200.0
