,player_id,player.name,player.name.GK,possession_team.name,play_pattern.name,shot.statsbomb_xg,shot.first_time,location.x,location.y,DistToGoal,DistToKeeper,AngleToGoal,AngleDeviation,avevelocity,DefendersInCone,InCone.GK,under_pressure,goal,shot.type.name_Free.Kick,shot.type.name_Open.Play,shot.type.name_Penalty,shot.technique.name_Half.Volley,shot.technique.name_Lob,shot.technique.name_Normal,shot.technique.name_Volley,shot.body_part.name_processed_Head,shot.body_part.name_processed_Other,shot.body_part.name_processed_Stronger.Foot,shot.body_part.name_processed_Weaker.Foot
23,1,Dennis Bergkamp,Jussi Jaaskelainen,Arsenal,Regular Play,0.48371932,1,112.8,43.8,0.883144149,0.374009744,1.576846665,1.722417615,-0.078539175,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
24,1,Dennis Bergkamp,Jussi Jaaskelainen,Arsenal,From Free Kick,0.029919766,0,105.4,53.5,2.157069659,0.504229441,2.423194699,0.446844172,-0.047284484,2,2,0,0,0,1,0,0,0,1,0,0,0,1,0
25,1,Dennis Bergkamp,Maik Taylor,Arsenal,From Free Kick,0.057945207,1,100.8,43.3,2.113310939,0.302787489,0.552689242,0.65642305,-0.044228479,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
26,1,Dennis Bergkamp,Maik Taylor,Arsenal,From Counter,0.42512512,0,104.1,44.3,1.786755974,3.9376778,0.857621802,0.119853084,-0.076284004,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
27,1,Dennis Bergkamp,Jerzy Dudek,Arsenal,From Free Kick,0.033679344,0,91.5,34.5,3.148656619,0.556786865,0.619016983,0.797450931,-0.017963733,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
28,1,Dennis Bergkamp,Jerzy Dudek,Arsenal,Regular Play,0.047206126,0,107.7,28.8,1.80454812,0.537790063,2.398359718,0.77219289,-0.066973331,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
29,1,Dennis Bergkamp,Paul Robinson,Arsenal,Regular Play,0.018011613,0,110.4,58.2,2.232110923,0.605574979,3.524406961,0.177752023,-0.05206026,1,2,1,0,0,1,0,1,0,0,0,0,0,1,0
30,1,Dennis Bergkamp,Ian Bennett,Arsenal,From Throw In,0.017185526,0,103.8,55.9,2.462347518,0.618699224,2.519893629,0.826853255,-0.052454796,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0
31,1,Dennis Bergkamp,Ian Bennett,Arsenal,From Free Kick,0.08153632,1,107.8,45.7,1.460747584,0.404366446,1.419213651,0.752801404,-0.079138198,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
32,1,Dennis Bergkamp,Ian Bennett,Arsenal,From Corner,0.011425021,0,90.1,54,3.581422742,0.370199699,1.421916008,0.938973633,-0.040657242,4,2,0,0,0,1,0,0,0,1,0,0,0,1,0
