,player.name,n_shots,n_goals
1,Thierry Henry,170,23
2,Robert Pires ,48,14
3,Dennis Bergkamp,42,4
4,Fredrik Ljungberg,41,4
5,Gilberto Aparecido da Silva,24,3
6,Eduardo Cesar Daude Gaspar,22,2
7,Patrick Vieira,17,3
8,Kolo Habib Toure,13,1
9,Sylvain Wiltord,11,3
